 TIME                    	Hours                    	Tout                     	Qdotout                  	Pel                      	Tm                       	Tcell                    	Eta_PV                   	Eta_PV_net               	
 HOURS              	NAV                 	øC                  	NAV                 	NAV                 	NAV                 	øC                  	                    	NAV                 	
  +1.3200000000000000E+02	  +1.3200000000000000E+02	  +1.2306194033286530E+01	  +4.7836735830892405E+02	  +1.7623900205982707E+02	  +1.1153097016643265E+01	  +1.4045281770627087E+01	  +1.7758867599740738E-01	  +1.8030303241005602E-01	
  +1.3300000000000000E+02	  +1.3300000000000000E+02	  +2.1480245234457730E+01	  +3.0704311616304523E+02	  +1.6954357702345197E+02	  +2.0740122617228863E+01	  +2.2596489704067103E+01	  +1.7084197604136636E-01	  +1.7345321243137254E-01	
  +1.3400000000000000E+02	  +1.3400000000000000E+02	  +3.0654295669151196E+01	  +1.3571871502884073E+02	  +1.6284815303977334E+02	  +3.0327147834575598E+01	  +3.1147696293032919E+01	  +1.6409527714608355E-01	  +1.6660339352966047E-01	
  +1.3500000000000000E+02	  +1.3500000000000000E+02	  +3.9828342202488585E+01	  -3.5606495352709715E+01	  +1.5615273441429824E+02	  +3.9914171101244293E+01	  +3.9698896038652336E+01	  +1.5734858365003851E-01	  +1.5975358010971086E-01	
  +1.3600000000000000E+02	  +1.3600000000000000E+02	  +2.4155210300012477E+00	  +5.0104475052112122E+02	  +1.2151123199780544E+02	  +1.2077605150006239E+00	  +4.2370516306059516E+00	  +1.8366268439813396E-01	  +1.8646987907050158E-01	
  +1.3700000000000000E+02	  +1.3700000000000000E+02	  +1.1589572482094843E+01	  +3.2972056042337107E+02	  +1.1708770352413993E+02	  +1.0794786241047422E+01	  +1.2788260004187514E+01	  +1.7697657727348839E-01	  +1.7968157805513355E-01	
  +1.3800000000000000E+02	  +1.3800000000000000E+02	  +2.0763623080343791E+01	  +1.5839619321502136E+02	  +1.1266417582524500E+02	  +2.0381811540171896E+01	  +2.1339466880045059E+01	  +1.7029047131989872E-01	  +1.7289327822872036E-01	
  +1.3900000000000000E+02	  +1.3900000000000000E+02	  +2.9937669694626912E+01	  -1.2929000376183026E+01	  +1.0824065174136321E+02	  +2.9968834847313456E+01	  +2.9890666767650924E+01	  +1.6360437083035551E-01	  +1.6610498394986897E-01	
  +1.4000000000000000E+02	  +1.4000000000000000E+02	  +3.9111720576833839E+01	  -1.8425330868392587E+02	  +1.0381712378480749E+02	  +3.9555860288416923E+01	  +3.8441874141597538E+01	  +1.5691826448731483E-01	  +1.5931668372805222E-01	
  +1.4100000000000000E+02	  +1.4100000000000000E+02	  +1.7015209408052485E+00	  +3.5294171514283562E+02	  +5.8837851842857091E+01	  +8.5076047040262426E-01	  +2.9846281556676519E+00	  +1.7786533205216776E-01	  +1.8058391701725768E-01	
  +1.4200000000000000E+02	  +1.4200000000000000E+02	  +1.0872948987897260E+01	  +1.8107335950555645E+02	  +5.6708408902174043E+01	  +1.0436474493948630E+01	  +1.1531234829532405E+01	  +1.7142808011539915E-01	  +1.7404827482011695E-01	
